"fever2wk","male","urban","pinf.rdt0","pinf.rdt1","pinf","reg","age"
1,1,0,0.334732959,0.755382568,0.683733805,"Centre-Ouest",0
1,1,0,0.311625281,0.766993041,0.691132035,"Centre-Ouest",1
1,1,0,0.567025682,0.812108847,0.781321069,"Centre-Ouest",2
1,1,0,0.509191188,0.8345907,0.800829118,"Centre-Ouest",3
1,1,0,0.610079173,0.81980379,0.791995237,"Centre-Ouest",4
0,0,1,0.083592956,0.554099118,0.395860322,"Centre-Ouest",0
0,0,1,0.075260627,0.571847298,0.406462885,"Centre-Ouest",1
0,0,1,0.175329609,0.614835626,0.51558393,"Centre-Ouest",2
0,0,1,0.141441411,0.648645322,0.542769148,"Centre-Ouest",3
0,0,1,0.201291897,0.625589969,0.530513608,"Centre-Ouest",4
1,0,1,0.084612277,0.491788256,0.365965305,"Centre-Ouest",0
1,0,1,0.076328799,0.508663636,0.37569548,"Centre-Ouest",1
1,0,1,0.183009665,0.561729247,0.483782345,"Centre-Ouest",2
1,0,1,0.147435263,0.596446004,0.510775445,"Centre-Ouest",3
1,0,1,0.211599909,0.572831877,0.499092185,"Centre-Ouest",4
0,1,1,0.093661382,0.526804522,0.371241127,"Centre-Ouest",0
0,1,1,0.084723676,0.54499442,0.38086928,"Centre-Ouest",1
0,1,1,0.193757088,0.586655477,0.489237534,"Centre-Ouest",2
0,1,1,0.160017299,0.622828414,0.516326946,"Centre-Ouest",3
0,1,1,0.219813369,0.597643498,0.504825498,"Centre-Ouest",4
1,1,1,0.094787072,0.462497903,0.341220001,"Centre-Ouest",0
1,1,1,0.086129356,0.480466518,0.351253791,"Centre-Ouest",1
1,1,1,0.201829897,0.531444617,0.457911434,"Centre-Ouest",2
1,1,1,0.166054687,0.568813047,0.484712173,"Centre-Ouest",3
1,1,1,0.231005096,0.542366441,0.473074401,"Centre-Ouest",4
0,0,0,0.429977374,0.841187372,0.688784306,"Sahel",0
0,0,0,0.433532245,0.833897854,0.689677721,"Sahel",1
0,0,0,0.589207413,0.86740531,0.781550261,"Sahel",2
0,0,0,0.534930489,0.858072433,0.770710965,"Sahel",3
0,0,0,0.652883083,0.87611025,0.803490789,"Sahel",4
1,0,0,0.484412329,0.787615473,0.671396504,"Sahel",0
1,0,0,0.490723273,0.779455548,0.671841961,"Sahel",1
1,0,0,0.650124837,0.826126849,0.767894597,"Sahel",2
1,0,0,0.605075576,0.817516261,0.756020392,"Sahel",3
1,0,0,0.706629297,0.836662393,0.790571964,"Sahel",4
0,1,0,0.457285149,0.824201383,0.677187609,"Sahel",0
0,1,0,0.461146166,0.816671941,0.6784313,"Sahel",1
0,1,0,0.616556556,0.852995853,0.772460952,"Sahel",2
0,1,0,0.567200669,0.843976049,0.760668052,"Sahel",3
0,1,0,0.676027741,0.861426376,0.794464219,"Sahel",4
1,1,0,0.510534706,0.766553198,0.660661925,"Sahel",0
1,1,0,0.516691299,0.757948191,0.661399516,"Sahel",1
1,1,0,0.674322738,0.807811981,0.758343386,"Sahel",2
1,1,0,0.632322854,0.79926472,0.746024442,"Sahel",3
1,1,0,0.726309486,0.818154207,0.781351871,"Sahel",4
0,0,1,0.368365053,0.799756208,0.552599141,"Sahel",0
0,0,1,0.370507713,0.788338315,0.552828675,"Sahel",1
0,0,1,0.506820175,0.815911836,0.661986747,"Sahel",2
0,0,1,0.461476966,0.806750192,0.647154138,"Sahel",3
0,0,1,0.566263379,0.822737565,0.689333006,"Sahel",4
1,0,1,0.402842283,0.718037414,0.534096426,"Sahel",0
1,0,1,0.404552024,0.705767028,0.534346387,"Sahel",1
1,0,1,0.549602584,0.748424213,0.645710906,"Sahel",2
1,0,1,0.510002203,0.738511554,0.630664646,"Sahel",3
1,0,1,0.605169082,0.754905304,0.673657177,"Sahel",4
0,1,1,0.387146785,0.774846646,0.540820202,"Sahel",0
0,1,1,0.387656232,0.763492916,0.540308308,"Sahel",1
0,1,1,0.527156344,0.793185704,0.650820562,"Sahel",2
0,1,1,0.483765585,0.784325102,0.636303778,"Sahel",3
0,1,1,0.582362868,0.799440884,0.678912875,"Sahel",4
1,1,1,0.418348209,0.684688166,0.523019873,"Sahel",0
1,1,1,0.420260049,0.671448508,0.521665564,"Sahel",1
1,1,1,0.565182138,0.718224375,0.633978404,"Sahel",2
1,1,1,0.528502183,0.710479394,0.61906378,"Sahel",3
1,1,1,0.618605446,0.724126166,0.662888792,"Sahel",4
0,0,0,0.201299248,0.760544919,0.567625178,"Centre",0
0,0,0,0.30117408,0.767330704,0.605146627,"Centre",1
0,0,0,0.267196369,0.770169609,0.644161202,"Centre",2
0,0,0,0.228403341,0.775142054,0.630301929,"Centre",3
0,0,0,0.392087795,0.779045743,0.679360519,"Centre",4
1,0,0,0.110826793,0.716603685,0.520028008,"Centre",0
1,0,0,0.184284517,0.729094143,0.558026209,"Centre",1
1,0,0,0.150555345,0.727794663,0.598209268,"Centre",2
1,0,0,0.122742206,0.732296701,0.581670322,"Centre",3
1,0,0,0.249656982,0.742351661,0.634647848,"Centre",4
0,1,0,0.204352836,0.744894421,0.540873469,"Centre",0
0,1,0,0.302956401,0.749981005,0.579676089,"Centre",1
0,1,0,0.272822498,0.753897019,0.620034549,"Centre",2
0,1,0,0.234338127,0.759280925,0.604924747,"Centre",3
0,1,0,0.392287065,0.760429451,0.656042751,"Centre",4
1,1,0,0.116338127,0.698432176,0.494018902,"Centre",0
1,1,0,0.18943851,0.710425571,0.532975268,"Centre",1
